1 1:15.26 2:14.84 3:0.871 4:5.763 5:3.312 6:2.221 7:5.22
1 1:14.88 2:14.57 3:0.8811 4:5.554 5:3.333 6:1.018 7:4.956
1 1:14.29 2:14.09 3:0.905 4:5.291 5:3.337 6:2.699 7:4.825
1 1:13.84 2:13.94 3:0.8955 4:5.324 5:3.379 6:2.259 7:4.805
1 1:16.14 2:14.99 3:0.9034 4:5.658 5:3.562 6:1.355 7:5.175
1 1:14.38 2:14.21 3:0.8951 4:5.386 5:3.312 6:2.462 7:4.956
1 1:14.69 2:14.49 3:0.8799 4:5.563 5:3.259 6:3.586 7:5.219
1 1:14.11 2:14.1 3:0.8911 4:5.42 5:3.302 6:2.7 7:5
1 1:16.63 2:15.46 3:0.8747 4:6.053 5:3.465 6:2.04 7:5.877
1 1:16.44 2:15.25 3:0.888 4:5.884 5:3.505 6:1.969 7:5.533
1 1:15.26 2:14.85 3:0.8696 4:5.714 5:3.242 6:4.543 7:5.314
1 1:14.03 2:14.16 3:0.8796 4:5.438 5:3.201 6:1.717 7:5.001
1 1:13.89 2:14.02 3:0.888 4:5.439 5:3.199 6:3.986 7:4.738
1 1:13.78 2:14.06 3:0.8759 4:5.479 5:3.156 6:3.136 7:4.872
1 1:13.74 2:14.05 3:0.8744 4:5.482 5:3.114 6:2.932 7:4.825
1 1:14.59 2:14.28 3:0.8993 4:5.351 5:3.333 6:4.185 7:4.781
1 1:13.99 2:13.83 3:0.9183 4:5.119 5:3.383 6:5.234 7:4.781
1 1:15.69 2:14.75 3:0.9058 4:5.527 5:3.514 6:1.599 7:5.046
1 1:14.7 2:14.21 3:0.9153 4:5.205 5:3.466 6:1.767 7:4.649
1 1:12.72 2:13.57 3:0.8686 4:5.226 5:3.049 6:4.102 7:4.914
1 1:14.16 2:14.4 3:0.8584 4:5.658 5:3.129 6:3.072 7:5.176
1 1:14.11 2:14.26 3:0.8722 4:5.52 5:3.168 6:2.688 7:5.219
1 1:15.88 2:14.9 3:0.8988 4:5.618 5:3.507 6:0.7651 7:5.091
1 1:12.08 2:13.23 3:0.8664 4:5.099 5:2.936 6:1.415 7:4.961
1 1:15.01 2:14.76 3:0.8657 4:5.789 5:3.245 6:1.791 7:5.001
1 1:16.19 2:15.16 3:0.8849 4:5.833 5:3.421 6:0.903 7:5.307
1 1:13.02 2:13.76 3:0.8641 4:5.395 5:3.026 6:3.373 7:4.825
1 1:12.74 2:13.67 3:0.8564 4:5.395 5:2.956 6:2.504 7:4.869
1 1:14.11 2:14.18 3:0.882 4:5.541 5:3.221 6:2.754 7:5.038
1 1:13.45 2:14.02 3:0.8604 4:5.516 5:3.065 6:3.531 7:5.097
1 1:13.16 2:13.82 3:0.8662 4:5.454 5:2.975 6:0.8551 7:5.056
1 1:15.49 2:14.94 3:0.8724 4:5.757 5:3.371 6:3.412 7:5.228
1 1:14.09 2:14.41 3:0.8529 4:5.717 5:3.186 6:3.92 7:5.299
1 1:13.94 2:14.17 3:0.8728 4:5.585 5:3.15 6:2.124 7:5.012
1 1:15.05 2:14.68 3:0.8779 4:5.712 5:3.328 6:2.129 7:5.36
1 1:16.12 2:15 3:0.9 4:5.709 5:3.485 6:2.27 7:5.443
1 1:16.2 2:15.27 3:0.8734 4:5.826 5:3.464 6:2.823 7:5.527
1 1:17.08 2:15.38 3:0.9079 4:5.832 5:3.683 6:2.956 7:5.484
1 1:14.8 2:14.52 3:0.8823 4:5.656 5:3.288 6:3.112 7:5.309
1 1:14.28 2:14.17 3:0.8944 4:5.397 5:3.298 6:6.685 7:5.001
1 1:13.54 2:13.85 3:0.8871 4:5.348 5:3.156 6:2.587 7:5.178
1 1:13.5 2:13.85 3:0.8852 4:5.351 5:3.158 6:2.249 7:5.176
1 1:13.16 2:13.55 3:0.9009 4:5.138 5:3.201 6:2.461 7:4.783
1 1:15.5 2:14.86 3:0.882 4:5.877 5:3.396 6:4.711 7:5.528
1 1:15.11 2:14.54 3:0.8986 4:5.579 5:3.462 6:3.128 7:5.18
1 1:13.8 2:14.04 3:0.8794 4:5.376 5:3.155 6:1.56 7:4.961
1 1:15.36 2:14.76 3:0.8861 4:5.701 5:3.393 6:1.367 7:5.132
1 1:14.99 2:14.56 3:0.8883 4:5.57 5:3.377 6:2.958 7:5.175
1 1:14.79 2:14.52 3:0.8819 4:5.545 5:3.291 6:2.704 7:5.111
1 1:14.86 2:14.67 3:0.8676 4:5.678 5:3.258 6:2.129 7:5.351
1 1:14.43 2:14.4 3:0.8751 4:5.585 5:3.272 6:3.975 7:5.144
1 1:15.78 2:14.91 3:0.8923 4:5.674 5:3.434 6:5.593 7:5.136
1 1:14.49 2:14.61 3:0.8538 4:5.715 5:3.113 6:4.116 7:5.396
1 1:14.33 2:14.28 3:0.8831 4:5.504 5:3.199 6:3.328 7:5.224
1 1:14.52 2:14.6 3:0.8557 4:5.741 5:3.113 6:1.481 7:5.487
1 1:15.03 2:14.77 3:0.8658 4:5.702 5:3.212 6:1.933 7:5.439
1 1:14.46 2:14.35 3:0.8818 4:5.388 5:3.377 6:2.802 7:5.044
1 1:14.92 2:14.43 3:0.9006 4:5.384 5:3.412 6:1.142 7:5.088
1 1:15.38 2:14.77 3:0.8857 4:5.662 5:3.419 6:1.999 7:5.222
1 1:12.11 2:13.47 3:0.8392 4:5.159 5:3.032 6:1.502 7:4.519
1 1:11.42 2:12.86 3:0.8683 4:5.008 5:2.85 6:2.7 7:4.607
